ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: rank_math_internal_links_processed","Meta: _deal_sales_counts","Meta: _deal_quantity","Meta: mf_pbt_product_ids","Meta: martfury_pbt_discount_all","Meta: martfury_pbt_checked_all","Meta: martfury_pbt_quantity_discount_all","Meta: _last_editor_used_jetpack","Meta: _wp_page_template","Meta: qwc_enable_quotes","Meta: qwc_display_prices","Meta: _wa_order_phone_number","Meta: _wa_order_button_text","Meta: _wa_order_custom_message","Meta: _hide_wa_button","Meta: _hide_atc_button","Meta: _force_show_atc_button","Meta: _diza_attribute_select","Meta: _diza_single_layout_select","Meta: _product_size_guide_image","Meta: diza_post_views_count","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_primary_yith_product_brand","Meta: _yoast_wpseo_focuskw","Meta: _yoast_wpseo_title","Meta: _yoast_wpseo_metadesc","Meta: _yoast_wpseo_linkdex","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: rank_math_seo_score","Meta: video_position","Meta: custom_badges_text","Meta: _is_new","Meta: _rank_math_gtin_code","Meta: rank_math_primary_product_cat","Meta: rank_math_primary_product_brand","Meta: _eael_post_view_count","Meta: wcboost_compare_count","Meta: wcboost_compare_addition","Meta: wcboost_compare_time","Meta: rs_page_bg_color","Meta: pageview","Meta: kft_prod_left_sidebar","Meta: kft_prod_right_sidebar","Meta: newts_product_brand","Meta: newts_product_brand_parent","Meta: _ajax_nonce-add-ts_product_brand","Meta: ts_prod_layout","Meta: ts_prod_left_sidebar","Meta: ts_prod_right_sidebar","Meta: ts_prod_custom_tab","Meta: ts_prod_custom_tab_title","Meta: ts_prod_custom_tab_content","Meta: ts_bg_breadcrumbs","Meta: ts_prod_video_url","Meta: ts_prod_360_gallery","Meta: ts_prod_size_chart","Meta: _wcct_goaldeal_stock_11879_1705449600_1705968000","Meta: _g_feedback_shortcode_5907c543eb3f92f6ab4aaafc29d65763863de758","Meta: _wp_old_date","Meta: _wxr_import_user_slug","Meta: _oembed_f278ca7d620883450a875bb1e3926693","Meta: _oembed_time_f278ca7d620883450a875bb1e3926693","Meta: _product_url","Meta: _button_text","Meta: _g_feedback_shortcode_05aa4f565bd214491ea2b5358ba462052aecd130","Meta: ts_show_page_title","Meta: woosb_total_limits_min","Meta: woosb_total_limits_max","Meta: _sale_price_times_from","Meta: _sale_price_times_to","Meta: _woo_ctr_select_countdown_timer","Meta: _woo_ctr_enable_progress_bar","Meta: _woo_ctr_progress_bar_goal","Meta: _woo_ctr_progress_bar_initial","Meta: _oembed_e472ad1df0e99dbd882b0b630fc3a49d","Meta: _oembed_time_e472ad1df0e99dbd882b0b630fc3a49d","Meta: _wp_desired_post_slug","Meta: _oembed_314e57a0103f60c96b99d7fbe5207fb3","Meta: _oembed_time_314e57a0103f60c96b99d7fbe5207fb3","Meta: woosb_disable_auto_price","Meta: woosb_discount","Meta: woosb_discount_amount","Meta: woosb_shipping_fee","Meta: woosb_optional_products","Meta: woosb_manage_stock","Meta: woosb_limit_each_min","Meta: woosb_limit_each_max","Meta: woosb_limit_each_min_default","Meta: woosb_limit_whole_min","Meta: woosb_limit_whole_max","Meta: woosb_total_limits","Meta: woosb_exclude_unpurchasable","Meta: woosb_layout","Meta: product_features_desc","Meta: rank_math_analytic_object_id","Meta: wcboost_compare_removal","Meta: rank_math_focus_keyword","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _elementor_edit_mode","Meta: _elementor_template_type","Meta: _elementor_version","Meta: _elementor_pro_version","Meta: _elementor_data","Meta: _eael_custom_js","Meta: _elementor_element_cache","Meta: rank_math_title","Meta: rank_math_description","Meta: rank_math_shortcode_schema_s-66d08d566c7db","Meta: rank_math_shortcode_schema_s-57c41286-639a-4e38-a25a-5a403c201606","Meta: rank_math_pillar_content"
5158,simple,,,"Digital Tens Machine Besmed BE-660",1,0,visible,"BE-660 Tens","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;PRODUCT DESCRIPTION:\\n•        Utilizes Transcutaneous Electrical Nerve Stimulation for pain relief.\\n•        Features a digital display for easy settings adjustment.\\n•        Multiple pre-set programs for different types of pain management.\\n•        Allows users to control the intensity level for personalized comfort\\n&quot;}"" data-sheets-userformat=""{&quot;2&quot;:705,&quot;3&quot;:{&quot;1&quot;:0},&quot;9&quot;:0,&quot;10&quot;:1,&quot;12&quot;:0}"">PRODUCT DESCRIPTION:
\n• Utilizes Transcutaneous Electrical Nerve Stimulation for pain relief.
\n• Features a digital display for easy settings adjustment.
\n• Multiple pre-set programs for different types of pain management.
\n• Allows users to control the intensity level for personalized comfort
\n</span>",,,taxable,,1,,,0,0,,,,,1,,7300,7800,"Physiotherapy Products, Physiotherapy Products > Tens Machines","BE-660, Besmed, Nerve Stimulator, Tens Machine Besmed, Tens Machine Taiwan, Transcutaneous",,https://citiscientific.com/wp-content/uploads/2023/11/Digital-Tens-Machine-Besmed-BE-660.jpg,,,,,,,,,0,,1,0,,0,0,no,2,classic-editor,default,,,test,,,no,no,no,,,,213,170,169,"Tens Machine Besmed BE-660","Tens Machine Besmed BE-660 Taiwan Brand dual channel","Tens Machine Besmed BE-660 Taiwan Brand dual channel with multiple tens option and frequency setting. Best for commercial usage.",77,30,2,10,1,,0,,0,0,3979,7328,7340,1754949249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,6702,,,,,
5159,simple,ComfyStim,,"Electric Tens + EMS Machine Comfy Skin",1,0,visible,,"<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;PRODUCT DESCRIPTION:\\n•        Combines both Transcutaneous Electrical Nerve Stimulation and Electrical Muscle Stimulation.\\n•        Offers various modes for pain relief and muscle stimulation.\\n•        Customizable settings for intensity and program selection. Typically equipped with a rechargeable battery for convenience.\\n•        Intuitive controls for easy operation.\\n&quot;}"" data-sheets-userformat=""{&quot;2&quot;:705,&quot;3&quot;:{&quot;1&quot;:0},&quot;9&quot;:0,&quot;10&quot;:1,&quot;12&quot;:0}"">PRODUCT DESCRIPTION:
\n• Combines both Transcutaneous Electrical Nerve Stimulation and Electrical Muscle Stimulation.
\n• Offers various modes for pain relief and muscle stimulation.
\n• Customizable settings for intensity and program selection. Typically equipped with a rechargeable battery for convenience.
\n• Intuitive controls for easy operation.
\n</span>",,,taxable,,1,,,0,0,,,,,1,,,9300,"Physiotherapy Products, Physiotherapy Products > Tens Machines","Comfy STim Machine, EMS Machine, tens and Ems, Tens Machine, Tens+EMS Machine",,https://citiscientific.com/wp-content/uploads/2023/11/Electric-Tens-EMS-Machine-Comfy-Stim.jpg,,,,,,,,,0,,1,0,,0,0,no,2,classic-editor,default,on,,test,,,no,no,no,,,,194,170,,"Tens and EMS Machine","Tens and EMS Machine Comfy Stim Dual Channel","Tens and EMS Machine Model: Comfy Stim with Dual Channel and four electrodes. It is best for use at home and commercially.",76,90,2,11,1,,0,,0,0,3999,7539,7549,1754926083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,6813,,,,,
5162,simple,Ecolite,,"Blood Pressure Apparatus Aneroid ABN ECO LITE",1,0,visible,"<strong>Brand:</strong> ABN
\n
\nAn Affordable Aneroid Sphygmomanometer","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;PRODUCT DESCRIPTION:\\nBlood Pressure Apparatus ABN\\n• A black manometer measuring 300 mmHg is featured.\\n• Finished with a typical air release valve.\\n• Enclosed in a zippered black vinyl case.\\nUsing the Blood Pressure Apparatus ABN, how is blood pressure measured?\\nThe two figures that represent blood pressure are measured in millimetres of mercury (mmHg):\\n• Systolic pressure: the force produced by your heart pumping blood out\\n• Diastolic pressure: the force experienced by your heart during a heartbeat\\nFor instance, if your blood pressure is &quot;140 over 90,&quot; or 140/90 mmHg, it indicates that your diastolic pressure is 90 mmHg and your systolic pressure is 140 mmHg.\\nAs a general rule:\\n• It is generally accepted that the ideal blood pressure range is 90/60 mmHg to 120/80 mmHg.\\n• A blood pressure measurement of 140/90 mmHg or higher is considered high.\\n• A blood pressure of 90/60 mmHg or less is regarded as low.\\nUnhealthy lifestyle choices like smoking, binge drinking, being overweight, and not getting enough exercise are all linked to high blood pressure. If left untreated, high blood pressure can raise your chance of developing several chronic, serious health issues, including kidney and coronary heart disease.\\n\\nLow blood pressure is less typical. Low blood pressure is a side effect of some medications. Numerous underlying illnesses, such as heart failure and dehydration, can also be the cause of it.\\nOne easy way to determine if your blood pressure is too high or too low is to get a blood pressure test.\\n\\n• The force that your blood exerts on the walls of your arteries as it is pumped throughout your body is known as blood pressure.\\n• Your arteries and other organs may be strained by high blood pressure (hypertension), which raises your risk of experiencing significant issues like heart attacks and strokes.\\n• Although it can occasionally result in dizziness and fainting, low blood pressure, or hypotension, it is not usually as dangerous.\\n• Since most people won't have any apparent symptoms, the only way to determine if your blood pressure is too high or too low is to get a blood pressure test. Tests are simple and have the potential to save lives.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:577,&quot;3&quot;:{&quot;1&quot;:0},&quot;9&quot;:0,&quot;12&quot;:0}"">Blood Pressure Apparatus ABN
\n• A black manometer measuring 300 mmHg is featured.
\n• Finished with a typical air release valve.
\n• Enclosed in a zippered black vinyl case.
\nUsing the Blood Pressure Apparatus ABN, how is blood pressure measured?
\nThe two figures that represent blood pressure are measured in millimetres of mercury (mmHg):
